in oracle but not in our list,,,,,,in our list but not in oracle,
ICODE,BARCODE,,,,,ICODE,BARCODE
BM30875,7,,,,,BM20088,1011
BM52192,8,,,,,BM20114,1082
BM30451,9,,,,,BM20238,2058
BM64650,12,,,,,BM 12094,2103
BM64651,13,,,,,BM8968,BM8968
BM64652,14,,,,,,
BM67472,35,,,,,,
BM67637,69,,,,,,
BM67488,95,,,,,,
BM68605,100,,,,,,
BM68242,129,,,,,,
BM66199,147,,,,,,
BM66186,456,,,,,,
BM8910,1002,,,,,,
BM8919,1011,,,,,,
BM8924,1016,,,,,,
BM8927,1019,,,,,,
BM8943,1035,,,,,,
BM8969,1061,,,,,,
BM8976,1068,,,,,,
BM8978,1070,,,,,,
BM8989,1081,,,,,,
BM8990,1082,,,,,,
BM8993,1085,,,,,,
BM8999,1091,,,,,,
BM11561,1114,,,,,,
BM14102,1124,,,,,,
BM18128,1135,,,,,,
BM25029,1141,,,,,,
BM58552,1145,,,,,,
BM58963,2000,,,,,,
BM9008,2001,,,,,,
BM9011,2004,,,,,,
BM9012,2005,,,,,,
BM9017,2010,,,,,,
BM9022,2015,,,,,,
BM9023,2016,,,,,,
BM9027,2020,,,,,,
BM9028,2021,,,,,,
BM9039,2032,,,,,,
BM64537,2043,,,,,,
BM9053,2046,,,,,,
BM9065,2058,,,,,,
BM9068,2061,,,,,,
BM9070,2063,,,,,,
BM9074,2067,,,,,,
BM9076,2069,,,,,,
BM9108,2101,,,,,,
BM12094,2103,,,,,,
BM12220,2106,,,,,,
BM29434,2144,,,,,,
BM58964,2146,,,,,,
BM59150,2222,,,,,,
BM29175,2300,,,,,,
BM68419,4455,,,,,,
BM20033,7011,,,,,,
BM20089,7067,,,,,,
BM20090,7068,,,,,,
BM20097,7075,,,,,,
BM20102,7080,,,,,,
BM20149,8016,,,,,,
BM20156,8023,,,,,,
BM20161,8028,,,,,,
BM20206,8073,,,,,,
BM20210,8077,,,,,,
BM20213,8080,,,,,,
BM20223,8090,,,,,,
BM61544,8114,,,,,,
BM13364,8140,,,,,,
BM47338,8178,,,,,,
